date,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,maximumHeartRate,NO_DATA,SLEEP,SEDENTARY,LIGHT,CONTINUOS_MODERATE,INTERMITTENT_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_VIGOROUS,NON_WEAR,sleepDuration_sec
2022-07-31,30469,19737.134765625,3293,0.859579,08:18:30,0,637.7499999999989,197.0,0,06:34:00,05:56:00,07:02:00,03:32:30,00:00:00,00:55:30,00:00:00,00:00:00,08:18:30
2023-03-02,22294,12439.3828125,2980,0.85034,08:34:30,0,495.4000000000003,197.0,0,08:31:00,05:07:30,06:50:30,02:52:00,00:00:00,00:39:00,00:00:00,00:00:00,08:34:30
2024-07-16,8820,4304.36767578125,2315,0.821795,06:30:00,0,129.09999999999985,197.0,0,08:05:00,07:53:30,07:20:30,00:41:00,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00
2022-05-04,20373,15970.03125,2916,0.872079,06:46:30,0,625.199999999999,197.0,0,09:24:00,06:54:30,04:06:00,01:18:00,00:00:00,01:22:00,00:00:00,00:55:30,06:46:30
2024-08-25,17721,12313.0576171875,2382,0.860485,09:58:30,0,301.2000000000002,197.0,0,14:15:30,03:22:00,03:53:30,02:29:00,00:00:00,00:00:00,00:00:00,00:00:00,09:58:30
2021-11-22,5864,3304.687744140625,2255,0.843358,06:39:00,1,171.8000000000001,,0,08:37:00,09:13:00,04:48:30,01:20:00,00:00:00,00:01:30,00:00:00,00:00:00,06:39:00
2023-09-04,10681,5942.88623046875,2247,0.0,00:00:00,0,153.1999999999999,197.0,0,10:23:30,06:29:30,05:59:30,01:07:30,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2021-09-01,10297,5267.11767578125,2564,0.903784,07:42:30,0,260.6000000000005,,0,07:59:30,05:12:00,07:40:00,01:48:00,00:00:00,00:01:00,00:00:00,01:19:30,07:42:30
2019-05-25,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2024-03-07,22723,13665.380859375,3285,0.0,00:00:00,0,793.299999999999,197.0,0,09:29:00,05:28:00,05:18:30,01:55:00,00:00:00,01:49:30,00:00:00,00:00:00,00:00:00
2024-04-08,10408,5588.53369140625,2333,0.876742,07:46:30,0,161.8500000000001,197.0,0,06:39:30,05:30:00,07:06:30,01:00:00,00:00:00,00:00:00,00:00:00,03:44:00,07:46:30
2023-10-20,11920,6238.94482421875,2759,0.814815,07:25:30,0,273.6500000000004,197.0,0,05:40:00,07:34:00,08:27:30,02:15:30,00:00:00,00:03:00,00:00:00,00:00:00,07:25:30
2024-04-10,0,0.0,1365,0.0,00:00:00,0,0.15000000000000002,197.0,0,00:02:30,00:00:00,00:00:30,00:00:00,00:00:00,00:00:00,00:00:00,23:57:00,00:00:00
2021-06-09,20523,12868.98828125,2761,0.907982,07:31:00,0,373.29999999999967,,0,08:09:30,06:10:30,07:06:00,02:26:00,00:00:00,00:08:00,00:00:00,00:00:00,07:31:00
2022-08-07,16470,13283.92578125,2642,0.881474,08:22:00,0,481.69999999999993,197.0,0,12:22:00,05:23:30,04:32:00,00:29:00,00:00:00,01:13:30,00:00:00,00:00:00,08:22:00
2022-04-16,384,184.21546936035156,1411,0.851107,08:17:00,0,7.949999999999999,197.0,0,07:18:30,00:02:30,00:14:00,00:03:00,00:00:00,00:00:00,00:00:00,16:22:00,08:17:00
2021-08-26,19762,12490.2900390625,3061,0.904192,05:34:00,0,524.0000000000006,,0,07:17:30,05:42:00,07:02:30,03:18:00,00:00:00,00:29:00,00:00:00,00:11:00,05:34:00
2023-08-17,6840,3614.699462890625,2266,0.843678,07:15:00,1,186.7500000000001,197.0,0,08:21:00,08:41:30,04:55:00,00:52:00,00:00:00,00:21:30,00:00:00,00:49:00,07:15:00
2020-01-22,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2019-06-26,0,0.0,1255,0.0,00:00:00,0,0.0,,0,07:21:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,16:39:00,00:00:00
2019-07-13,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2022-09-22,13370,7774.546875,2584,0.856649,04:49:30,0,366.3500000000001,197.0,0,09:45:00,07:15:30,04:23:00,01:55:00,00:00:00,00:41:30,00:00:00,00:00:00,04:49:30
2023-11-17,13315,10744.2431640625,2486,0.0,00:00:00,0,434.3000000000006,197.0,0,00:08:00,02:00:30,04:25:00,00:28:30,00:00:00,01:09:00,00:00:00,15:49:00,00:00:00
2020-01-15,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2023-09-15,8502,4185.841796875,2385,0.861953,07:25:30,0,146.5,197.0,0,08:03:30,07:24:00,07:43:30,00:49:00,00:00:00,00:00:00,00:00:00,00:00:00,07:25:30
2024-08-19,13645,7353.927734375,2541,0.822917,06:24:00,0,186.55000000000024,197.0,0,05:29:30,09:10:00,08:01:00,01:19:30,00:00:00,00:00:00,00:00:00,00:00:00,06:24:00
2024-12-10,8816,4602.61669921875,2244,0.842333,07:43:00,0,142.44999999999993,197.0,0,08:45:30,05:52:30,06:06:00,00:55:30,00:00:00,00:00:00,00:00:00,02:20:30,07:43:00
2024-12-01,17027,9489.2373046875,2546,0.0,00:00:00,0,320.20000000000056,197.0,0,03:03:00,02:38:30,05:55:30,02:32:30,00:00:00,00:05:00,00:00:00,09:45:30,00:00:00
