date,name,startTime,stopTime,timeZoneOffset,distance,duration,kiloCalories,maximumHeartRate,averageHeartRate,duration_minutes,vo2Max,restingHeartRate,anaerobicThreshold,functionalThresholdPower,sleepGoal,sport,minHeartRate
2016-07-22,Laufen,09:09:26,10:46:35,120,3332.199951171875,01:37:09,268.0,199,,01:37:09,44,55.0,179.0,,,RUNNING,
2020-04-18,Laufen,09:18:42,10:55:52,120,15037.099609375,01:37:10,878.0,196,,01:37:10,45,55.0,176.0,,,RUNNING,
2022-12-25,,18:10:22,19:38:39,60,15140.2998046875,01:28:17,879.0,197,159.0,01:28:17,45,55.0,177.0,177.0,8.0,RUNNING,101.0
2023-05-08,,06:28:35,07:08:40,120,16244.900390625,00:40:05,364.0,197,158.0,00:40:05,44,55.0,177.0,172.0,8.0,ROAD_BIKING,114.0
2019-09-02,Laufen,18:22:25,19:00:53,120,7013.2998046875,00:38:28,362.0,196,,00:38:28,45,55.0,176.0,,,RUNNING,
2024-02-13,,17:05:44,17:35:23,60,4166.2998046875,00:29:39,259.0,197,145.0,00:29:39,44,55.0,177.0,172.0,8.0,RUNNING,99.0
2023-08-07,,19:19:51,20:12:51,120,9570.2998046875,00:53:00,526.0,197,163.0,00:53:00,44,55.0,177.0,172.0,8.0,RUNNING,93.0
2021-12-21,,19:01:33,19:47:01,60,,00:45:28,312.0,194,126.0,00:45:28,45,55.0,175.0,177.0,8.0,FUNCTIONAL_TRAINING,80.0
2022-05-10,,19:01:12,19:51:28,120,0.0,00:50:16,326.0,197,123.0,00:50:16,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,71.0
2022-05-27,,09:34:10,14:18:07,120,8023.7998046875,04:43:57,1494.0,197,113.0,04:43:57,45,55.0,177.0,177.0,8.0,HIKING,68.0
2015-06-30,Laufen,08:29:51,09:11:24,120,5022.7001953125,00:41:33,384.0,200,153.0,00:41:33,42,55.0,180.0,,,RUNNING,113.0
2025-04-30,,08:05:27,08:45:03,120,6975.10009765625,00:39:36,385.0,197,159.0,00:39:36,44,55.0,177.0,172.0,8.0,RUNNING,122.0
2021-08-25,,20:41:12,21:14:49,120,,00:33:37,69.0,194,81.0,00:33:37,45,55.0,175.0,177.0,8.0,BODY_AND_MIND,49.0
2024-06-24,,09:44:20,10:56:09,120,15005.599609375,01:11:49,312.0,197,125.0,01:11:49,44,55.0,177.0,172.0,8.0,MOUNTAIN_BIKING,75.0
2022-05-13,,17:43:41,18:24:49,120,7030.39990234375,00:41:08,415.0,197,160.0,00:41:08,45,55.0,177.0,177.0,8.0,RUNNING,98.0
2021-06-29,,17:11:30,17:50:04,120,6354.39990234375,00:38:34,358.0,194,149.0,00:38:34,45,55.0,175.0,177.0,8.0,JOGGING,99.0
2023-07-27,,09:41:33,11:39:02,120,36223.6015625,01:57:29,972.0,197,144.0,01:57:29,44,55.0,177.0,172.0,8.0,MOUNTAIN_BIKING,92.0
2022-11-07,,19:50:46,20:38:27,60,7865.2998046875,00:47:41,456.0,197,155.0,00:47:41,45,55.0,177.0,177.0,8.0,RUNNING,69.0
2024-02-12,,19:37:37,20:11:33,60,,00:33:56,172.0,197,109.0,00:33:56,44,55.0,177.0,172.0,8.0,FUNCTIONAL_TRAINING,70.0
2024-05-19,,15:58:00,16:47:02,120,10201.400390625,00:49:02,316.0,197,120.0,00:49:02,44,55.0,177.0,172.0,8.0,MOUNTAIN_BIKING,93.0
2021-08-22,,08:48:19,09:39:05,120,8784.2998046875,00:50:46,532.0,194,164.0,00:50:46,45,55.0,175.0,177.0,8.0,JOGGING,111.0
